frame;x;y;class
1;165;443;
2;165;442;Ant
3;166;441;Ant
4;167;440;Ant
5;168;439;Ant
6;169;437;Ant
7;170;436;Ant
8;171;434;Ant
9;172;432;Ant
10;173;430;Ant
11;174;429;Ant
12;175;428;Ant
13;176;427;Ant
14;177;425;Ant
15;178;423;Ant
16;179;421;Ant
17;180;419;Ant
18;181;417;Ant
19;182;415;Ant
20;182;413;Ant
21;182;411;Ant
22;182;409;Ant
23;183;407;Ant
24;184;405;Ant
25;185;404;Ant
26;186;403;Ant
27;187;402;Ant
28;188;400;Ant
29;189;398;Ant
30;190;396;Ant
31;191;394;Ant
32;192;393;Ant
33;194;392;Ant
34;196;390;Ant
35;198;388;Ant
36;199;386;Ant
37;201;384;Ant
38;202;382;Ant
39;203;379;Ant
40;204;377;Ant
41;205;375;Ant
42;206;373;Ant
43;207;371;Ant
44;208;368;Ant
45;210;365;Ant
46;212;363;Ant
47;213;361;Ant
48;214;359;Ant
49;215;357;Ant
50;216;355;Ant
51;217;353;Ant
52;217;351;Ant
53;217;349;Ant
54;217;347;Ant
55;217;345;Ant
56;217;344;Ant
57;216;343;Ant
58;215;342;Ant
59;214;341;Ant
60;214;340;Ant
61;214;339;Ant
62;214;338;Ant
63;214;337;Ant
64;214;335;Ant
65;214;334;Ant
66;214;332;Ant
67;214;331;Ant
68;214;330;Ant
69;214;329;Ant
70;214;327;Ant
71;214;326;Ant
72;215;325;Ant
73;216;323;Ant
74;217;321;Ant
75;218;320;Ant
76;218;318;Ant
77;218;316;Ant
78;219;313;Ant
79;220;310;Ant
80;221;308;Ant
81;222;306;Ant
82;223;304;Ant
83;224;302;Ant
84;225;301;Ant
85;225;300;Ant
86;225;299;Ant
87;225;298;Ant
88;225;297;Ant
89;226;296;Ant
90;226;296;Ant
91;226;296;Ant
92;226;296;Ant
93;226;296;Ant
94;226;296;Ant
95;226;296;Ant
96;226;296;Ant
97;226;296;Ant
98;226;296;Ant
99;226;297;Ant
100;225;297;Ant
