frame;x;y;class
1;668;595;
2;669;595;Ant
3;670;595;Ant
4;671;595;Ant
5;672;595;Ant
6;673;595;Ant
7;674;595;Ant
8;675;595;Ant
9;676;595;Ant
10;677;595;Ant
11;678;595;Ant
12;679;595;Ant
13;680;595;Ant
14;681;595;Ant
15;683;595;Ant
16;684;595;Ant
17;685;595;Ant
18;686;595;Ant
19;687;595;Ant
20;688;595;Ant
21;689;595;Ant
22;690;594;Ant
23;691;594;Ant
24;692;594;Ant
25;693;594;Ant
26;693;593;Ant
27;694;593;Ant
28;694;593;Ant
29;694;593;Ant
30;694;593;Ant
31;694;593;Ant
32;695;592;Ant
33;695;592;Ant
34;696;592;Ant
35;697;592;Ant
36;697;591;Ant
37;698;591;Ant
38;698;591;Ant
39;698;591;Ant
40;699;591;Ant
41;699;590;Ant
42;700;589;Ant
43;700;588;Ant
44;700;587;Ant
45;701;586;Ant
46;701;586;Ant
47;702;586;Ant
48;703;585;Ant
49;703;584;Ant
50;704;583;Ant
51;704;583;Ant
52;704;582;Ant
53;705;581;Ant
54;706;580;Ant
55;707;580;Ant
56;708;579;Ant
57;709;578;Ant
58;710;577;Ant
59;710;576;Ant
60;711;575;Ant
61;712;574;Ant
62;713;573;Ant
63;714;571;Ant
64;715;569;Ant
65;716;567;Ant
66;717;565;Ant
67;718;564;Ant
68;719;563;Ant
69;720;562;Ant
70;721;560;Ant
71;722;558;Ant
72;723;556;Ant
73;723;555;Ant
74;723;554;Ant
75;724;553;Ant
76;724;552;Ant
77;725;551;Ant
78;725;550;Ant
79;726;549;Ant
80;727;548;Ant
81;728;547;Ant
82;730;546;Ant
83;732;545;Ant
84;734;544;Ant
85;736;543;Ant
86;738;542;Ant
87;740;541;Ant
88;742;540;Ant
89;744;539;Ant
90;746;538;Ant
91;748;537;Ant
92;750;536;Ant
93;752;535;Ant
94;754;534;Ant
95;756;533;Ant
96;759;532;Ant
97;763;530;Ant
98;766;528;Ant
99;769;526;Ant
100;772;524;Ant
