frame;x;y;class
218;1197;357;
542;1197;357;
543;1197;357;
544;1197;357;
545;1197;357;
546;1197;357;
547;1197;357;
548;1197;357;
549;1197;357;
550;1197;357;
551;1197;357;
552;1197;357;
553;1197;357;
554;1197;357;
555;1175;382;
556;1156;403;
557;1141;421;
558;1128;435;
559;1118;447;
560;1110;457;
561;1103;465;
562;1098;471;
563;1094;476;
564;1091;479;
565;1089;482;
566;1088;484;
567;1087;485;
568;1087;485;
569;1087;485;
570;1088;484;
571;1089;483;
572;1089;483;
573;1091;482;
574;1093;481;
575;1095;480;
576;1097;478;
577;1100;476;
578;1102;475;
579;1104;474;
580;1106;473;
581;1108;472;
582;1110;471;
583;1112;470;
584;1114;469;
585;1115;468;
586;1117;467;
587;1118;466;
588;1119;465;
589;1120;464;
590;1121;463;
591;1121;462;
592;1121;461;
593;1121;460;
594;1121;459;
595;1121;458;
596;1121;458;
597;1121;458;
598;1121;458;
599;1121;458;
600;1120;458;
601;1120;458;
602;1119;458;
603;1118;458;
604;1117;459;
605;1117;460;
606;1117;460;
607;1116;461;
608;1115;462;
609;1114;463;
610;1113;464;
611;1112;465;
612;1111;466;
613;1110;467;
614;1109;468;
615;1108;469;
616;1108;470;
617;1108;471;
618;1108;472;
619;1108;473;
620;1108;474;
621;1108;475;
622;1108;477;
623;1108;478;
624;1107;480;
625;1107;482;
626;1107;484;
627;1107;486;
628;1107;488;
629;1107;490;
630;1107;491;
631;1107;492;
632;1107;493;
633;1107;494;
634;1107;495;
635;1107;497;
636;1107;498;
637;1107;499;
638;1107;500;
639;1107;501;
640;1107;501;
641;1107;501;
642;1107;501;
643;1107;501;
644;1107;501;
645;1107;500;
646;1107;499;
647;1106;498;
648;1106;497;
649;1105;496;
650;1105;496;
651;1105;495;
652;1104;494;
653;1103;494;
654;1102;493;
655;1101;493;
656;1100;493;
657;1099;493;
658;1098;493;
659;1097;493;
660;1096;493;
661;1095;493;
662;1094;493;
663;1093;493;
664;1092;493;
665;1091;493;
666;1090;493;
667;1090;493;
668;1090;493;
669;1090;493;
670;1090;493;
671;1090;493;
672;1090;493;
673;1090;492;
674;1090;491;
675;1091;490;
676;1092;489;
677;1093;489;
678;1093;489;
679;1093;488;
680;1093;487;
681;1093;486;
682;1092;486;
683;1091;485;
684;1090;485;
685;1089;484;
686;1088;483;
687;1087;482;
688;1086;482;
689;1085;481;
690;1084;480;
691;1083;479;
692;1082;479;
693;1081;478;
694;1080;477;
695;1079;476;
696;1078;475;
697;1077;474;
698;1076;473;
699;1075;472;
700;1074;472;
701;1073;471;
702;1072;470;
703;1071;469;
704;1070;468;
705;1070;466;
706;1070;464;
707;1070;462;
708;1069;461;
709;1069;460;
710;1068;459;
711;1067;458;
712;1067;457;
713;1066;456;
714;1065;455;
715;1064;453;
716;1064;452;
717;1064;451;
718;1063;450;
719;1062;449;
720;1061;448;
721;1059;446;
722;1057;444;
723;1056;443;
724;1055;442;
725;1053;441;
726;1051;439;
727;1049;437;
728;1047;435;
729;1045;434;
730;1044;433;
731;1043;432;
732;1042;431;
733;1041;430;
734;1040;429;
735;1038;428;
736;1036;428;
737;1034;427;
738;1032;427;
739;1030;427;
740;1029;427;
741;1028;427;
742;1027;428;
743;1026;429;
744;1025;430;
745;1023;431;
746;1022;432;
747;1021;432;
748;1020;432;
749;1019;433;
750;1018;433;
751;1017;434;
752;1015;435;
753;1013;436;
754;1012;437;
755;1010;438;
756;1008;439;
757;1007;440;
758;1006;441;
759;1005;442;
760;1004;443;
761;1003;444;
762;1003;445;
763;1003;446;
764;1003;447;
765;1003;448;
766;1003;449;
767;1003;450;
768;1003;451;
769;1003;452;
770;1003;453;
771;1003;455;
772;1002;456;
773;1001;458;
774;1000;459;
775;999;461;
776;998;463;
777;997;464;
778;996;465;
779;995;466;
780;994;467;
781;993;467;
782;992;467;
783;991;467;
784;990;467;
785;990;467;
786;990;467;
787;990;467;
788;990;467;
789;989;467;
790;988;467;
791;987;466;
792;986;465;
793;985;465;
794;984;464;
795;983;464;
796;982;464;
797;981;464;
798;980;464;
799;978;463;
800;976;462;
801;973;461;
802;970;460;
803;968;459;
804;965;458;
805;962;457;
806;960;457;
807;957;457;
808;954;457;
809;951;457;
810;949;457;
811;947;457;
812;945;457;
813;942;457;
814;939;457;
815;936;457;
816;934;457;
817;932;457;
818;930;456;
819;928;455;
820;926;454;
821;924;454;
822;922;454;
823;920;453;
824;919;452;
825;918;451;
826;917;450;
827;916;449;
828;914;448;
829;913;447;
830;912;446;
831;911;445;
832;910;444;
833;909;443;
834;908;442;
835;907;441;
836;906;440;
837;905;439;
838;904;438;
839;903;437;
840;901;436;
841;899;435;
842;898;434;
843;897;433;
844;896;433;
845;895;433;
846;894;432;
847;893;432;
848;892;432;
849;892;432;
850;892;432;
851;892;431;
852;892;430;
853;892;429;
854;892;429;
855;892;429;
856;891;429;
857;890;428;
858;889;427;
859;888;426;
860;887;425;
861;886;424;
862;884;423;
863;882;422;
864;880;421;
865;878;420;
866;876;419;
867;874;419;
868;872;419;
869;870;419;
870;868;419;
871;866;419;
872;864;418;
873;862;418;
874;860;417;
875;858;417;
876;856;417;
877;854;417;
878;852;417;
879;850;417;
880;849;418;
881;847;419;
882;845;420;
883;843;421;
884;841;422;
885;840;423;
886;838;425;
887;836;427;
888;834;429;
889;832;431;
890;830;432;
891;829;433;
892;828;434;
893;827;435;
894;826;437;
895;825;439;
896;829;442;
897;829;443;
898;829;444;Ant
899;828;444;Ant
900;827;445;Ant
901;827;446;Ant
902;826;447;Ant
903;825;448;Ant
904;824;449;Ant
905;823;450;Ant
906;823;451;Ant
907;823;452;Ant
908;823;453;Ant
909;822;453;Ant
910;821;454;Ant
911;820;454;Ant
912;820;455;Ant
913;819;455;Ant
914;818;455;Ant
915;817;455;Ant
916;816;455;Ant
917;815;455;Ant
918;814;455;Ant
919;813;455;Ant
920;812;455;Ant
921;811;455;Ant
922;810;455;Ant
923;809;455;Ant
924;808;455;Ant
925;807;455;Ant
926;805;455;Ant
927;803;455;Ant
928;801;455;Ant
929;800;455;Ant
930;798;455;Ant
931;796;455;Ant
932;794;455;Ant
933;793;455;Ant
934;791;455;Ant
935;789;455;Ant
936;787;456;Ant
937;785;456;Ant
938;783;457;Ant
939;781;458;Ant
940;779;458;Ant
941;777;459;Ant
942;775;460;Ant
943;772;460;Ant
944;769;461;Ant
945;766;462;Ant
946;762;463;Ant
947;759;464;Ant
948;756;465;Ant
949;753;466;Ant
950;751;468;Ant
951;749;470;Ant
952;747;472;Ant
953;745;474;Ant
954;743;475;Ant
955;742;477;Ant
956;741;479;Ant
957;741;481;Ant
958;741;483;Ant
959;741;485;Ant
960;741;487;Ant
961;741;489;Ant
962;741;490;Ant
963;741;491;Ant
964;741;492;Ant
965;741;493;Ant
966;741;493;Ant
967;741;493;Ant
968;741;493;Ant
969;741;493;Ant
970;740;493;Ant
971;739;493;Ant
972;738;493;Ant
973;737;493;Ant
974;735;493;Ant
975;733;493;Ant
976;731;493;Ant
977;730;493;Ant
978;728;493;Ant
979;726;492;Ant
980;725;491;Ant
981;723;490;Ant
982;721;489;Ant
983;719;488;Ant
984;717;487;Ant
985;716;486;Ant
986;715;484;Ant
987;714;482;Ant
988;713;481;Ant
989;712;480;Ant
990;711;478;Ant
991;710;476;Ant
992;708;474;Ant
993;706;472;Ant
994;705;470;Ant
995;704;468;Ant
996;703;466;Ant
997;702;464;Ant
998;701;463;Ant
