frame;x;y;class
1;1007;364;
2;1008;366;
3;1008;368;
4;1009;370;
5;1009;373;
6;1008;376;
7;1008;379;
8;1008;383;
9;1008;388;
10;1008;392;
11;1008;397;
12;1008;401;
13;1009;405;
14;1011;409;
15;1012;412;
16;1013;415;
17;1014;417;
18;1014;418;
19;1014;419;
20;1014;419;
21;1014;419;
22;1014;418;
23;1014;417;
24;1014;415;
25;1014;414;
26;1014;412;
27;1014;410;
28;1015;408;
29;1015;406;
30;1015;404;
31;1015;402;
32;1015;400;
33;1016;398;
34;1017;396;
35;1019;394;
36;1021;392;
37;1023;391;
38;1025;390;
39;1027;388;
40;1029;387;
41;1032;386;
42;1035;385;
43;1037;385;
44;1039;385;
45;1041;385;
46;1043;385;
47;1046;385;
48;1049;386;
49;1051;387;
50;1053;388;
51;1055;389;
52;1057;390;
53;1059;391;
54;1061;391;
55;1062;392;
56;1063;392;
57;1064;393;
58;1065;394;
59;1066;394;
60;1066;394;
61;1067;394;
62;1067;394;
63;1066;394;
64;1065;393;
65;1063;392;
66;1061;391;
67;1058;389;
68;1055;387;
69;1052;385;
70;1050;383;
71;1048;380;
72;1046;378;
73;1044;376;
74;1043;374;
75;1042;372;
76;1041;370;
77;1041;368;
78;1041;365;
79;1040;362;
80;1040;360;
81;1040;358;
82;1040;356;
83;1040;354;
84;1041;352;
85;1042;350;
86;1043;348;
87;1044;346;
88;1045;344;
89;1046;343;
90;1047;342;
91;1048;341;
92;1050;340;
93;1053;339;
94;1056;338;
95;1059;338;
96;1062;338;
97;1065;338;
98;1067;338;
99;1069;339;
100;1071;340;
101;1072;341;
102;1073;342;
103;1074;343;
104;1075;344;
105;1075;344;
106;1075;344;
107;1075;344;
108;1075;345;
109;1074;346;
110;1073;346;
111;1073;346;
112;1072;347;
113;1072;348;
114;1072;348;
115;1071;348;
116;1071;348;
117;1070;348;
118;1070;348;
119;1070;348;
120;1070;348;
121;1070;348;
122;1070;348;
123;1070;349;
124;1069;349;
125;1069;349;
126;1069;349;
127;1069;349;
128;1069;349;
129;1069;349;
130;1069;349;
131;1069;349;
132;1069;349;
133;1069;348;
134;1069;348;
135;1069;348;
136;1069;348;
137;1069;348;
138;1069;348;
139;1069;348;
140;1069;348;
141;1069;348;
142;1069;348;
143;1069;348;
144;1069;348;
145;1069;348;
146;1069;348;
147;1069;348;
148;1069;348;
149;1067;348;
150;1065;349;
151;1065;349;
152;1062;349;
153;1059;350;
154;1056;350;
155;1053;351;
156;1051;352;
157;1049;352;
158;1047;353;
159;1045;353;
160;1043;353;
161;1041;353;
162;1039;353;
163;1037;353;
164;1034;352;
165;1031;351;
166;1028;350;
167;1026;349;
168;1024;349;
169;1022;348;
170;1020;347;
171;1018;346;
172;1016;345;
173;1014;344;
174;1012;342;
175;1011;340;
176;1009;338;
177;1007;336;
178;1005;333;
179;1003;331;
180;1001;329;
181;999;327;
182;997;325;
183;995;323;
184;993;321;
185;991;319;
186;988;317;
187;985;315;
188;982;313;
189;978;311;
190;975;308;
191;972;305;
192;969;302;
193;966;299;
194;963;296;
195;961;292;
196;959;288;
197;957;284;
198;956;279;
199;956;274;
200;956;269;
201;956;264;
202;956;260;
203;957;257;
204;958;254;
205;959;252;
206;960;251;
207;961;250;
208;962;250;
209;963;250;
210;964;251;
211;965;252;
212;965;254;
213;966;256;
214;967;258;
215;968;260;
216;969;262;
217;970;264;
218;971;266;
219;973;268;
220;975;270;
221;977;272;
222;979;274;
223;982;276;
224;985;278;
225;988;279;
226;992;280;
227;995;281;
228;999;282;
229;1003;282;
230;1007;282;
231;1011;283;
232;1016;284;
233;1021;285;
234;1026;285;
235;1031;285;
236;1036;284;
237;1041;283;
238;1045;282;
239;1049;281;
240;1052;281;
241;1054;280;
242;1056;279;
243;1057;278;
244;1057;277;
245;1057;276;
246;1057;275;
247;1056;274;
248;1055;273;
249;1054;272;
250;1053;271;
251;1051;270;
252;1049;269;
253;1047;268;
254;1045;267;
255;1043;266;
256;1041;266;
257;1039;266;
258;1037;267;
259;1036;268;
260;1035;270;
261;1035;272;
262;1035;274;
263;1036;275;
264;1037;277;
265;1037;278;
266;1039;279;
267;1041;280;
268;1043;281;
269;1044;282;
270;1045;283;
271;1045;283;
272;1045;283;
273;1045;283;
274;1045;284;
275;1045;285;
276;1045;285;
277;1044;285;
278;1043;285;
279;1042;285;
280;1042;285;
281;1041;286;
282;1041;287;
283;1040;287;
284;1040;288;
285;1040;288;
286;1051;296;
287;1057;288;
288;1062;280;
289;1066;273;
290;1071;265;
291;1075;257;
292;1079;249;
293;1082;241;
294;1085;234;
295;1089;227;
296;1092;220;
297;1095;213;
298;1098;207;
299;1100;202;
300;1102;198;
301;1103;194;
302;1103;191;
303;1103;189;
304;1102;188;
305;1101;188;
306;1100;189;
307;1099;190;
308;1097;191;
309;1095;193;
310;1093;195;
311;1091;198;
312;1089;201;
313;1087;204;
314;1085;207;
315;1082;210;
316;1080;213;
317;1078;216;
318;1076;219;
319;1074;222;
320;1072;225;
321;1070;228;
322;1069;231;
323;1068;233;
324;1067;235;
325;1066;237;
326;1065;239;
327;1064;241;
328;1063;243;
329;1061;244;
330;1059;246;
331;1058;248;
332;1057;250;
333;1056;252;
334;1055;254;
335;1054;256;
336;1053;258;
337;1052;260;
338;1051;262;
339;1050;264;
340;1049;266;
341;1048;268;
342;1047;270;
343;1046;272;
344;1045;274;
345;1044;276;
346;1043;278;
347;1042;280;
348;1041;282;
349;1040;284;
350;1039;286;
351;1038;288;
352;1037;290;
353;1036;292;
354;1035;294;
355;1034;296;
356;1034;296;
357;1034;296;
358;1034;296;
359;1034;296;
360;1034;296;
361;1034;296;
362;1034;296;
363;1034;296;
364;1034;296;
365;1034;296;
366;1034;296;
367;1034;296;
368;1034;296;
369;1034;296;
370;1034;296;
371;1034;296;
372;1034;296;
373;1034;296;
374;1034;296;
375;1034;296;
376;1034;296;
377;1034;296;
378;1034;296;
379;1034;296;
