frame;x;y;class
218;49;485;
769;49;485;
770;47;483;
771;47;483;
772;47;481;
773;47;481;
774;47;480;
775;47;480;
776;47;481;
777;47;481;
778;47;480;
779;47;479;
780;47;478;
781;47;479;
782;47;480;
783;47;481;
784;48;481;
785;48;481;
786;48;481;
787;48;481;
788;48;481;
789;48;481;
790;49;480;
791;49;479;
792;49;479;
793;49;478;
794;49;477;
795;49;476;
796;50;475;
797;50;474;
798;50;473;
799;50;472;
800;51;471;
801;52;470;
802;53;469;
803;54;468;
804;55;467;
805;56;466;
806;57;464;
807;57;462;
808;58;460;
809;59;458;
810;59;456;
811;59;454;
812;59;452;
813;59;451;
814;59;450;
815;59;449;
816;59;449;
817;59;448;
818;60;447;
819;61;446;
820;62;445;
821;63;444;
822;65;443;
823;67;442;
824;68;441;
825;70;440;
826;73;439;
827;75;439;
828;77;438;
829;79;437;
830;80;437;
831;81;437;
832;82;437;
833;83;437;
834;84;437;
835;84;437;
836;85;437;
837;85;437;
838;85;437;
839;85;437;
840;86;437;
841;87;437;
842;88;436;
843;89;435;
844;90;435;
845;91;435;
846;92;435;
847;93;434;
848;94;434;
849;94;433;
850;94;432;
851;94;431;
852;94;430;
853;94;429;
854;94;428;
855;94;427;
856;94;426;
857;94;425;
858;94;424;
859;94;423;
860;94;422;
861;94;421;
862;94;420;
863;95;419;
864;96;418;
865;96;417;
866;96;416;
867;96;416;
868;96;416;
869;96;416;
870;96;416;
871;96;416;
872;96;416;
873;96;416;
874;96;416;
875;96;416;
876;96;416;
877;96;416;
878;95;416;
879;94;416;
880;94;416;
881;93;415;
882;93;414;
883;93;413;
884;93;412;
885;93;411;
886;93;411;
887;93;410;
888;93;410;
889;93;410;
890;93;409;
891;93;408;
892;93;407;
893;93;406;
894;93;406;
895;93;406;
896;92;406;
897;92;406;
898;92;406;Ant
899;92;406;Ant
900;92;406;Ant
901;92;406;Ant
902;93;406;Ant
903;93;406;Ant
904;93;406;Ant
905;93;406;Ant
906;93;405;Ant
907;94;405;Ant
908;95;405;Ant
909;95;404;Ant
910;96;403;Ant
911;97;402;Ant
912;97;401;Ant
913;97;400;Ant
914;97;399;Ant
915;97;399;Ant
916;97;399;Ant
917;97;399;Ant
918;96;399;Ant
919;96;400;Ant
920;95;401;Ant
921;94;401;Ant
922;94;401;Ant
923;94;401;Ant
924;94;401;Ant
925;94;401;Ant
926;93;401;Ant
927;92;401;Ant
928;91;401;Ant
929;90;402;Ant
930;89;402;Ant
931;89;402;Ant
932;89;402;Ant
933;89;402;Ant
934;88;402;Ant
935;88;402;Ant
936;88;403;Ant
937;88;403;Ant
938;88;403;Ant
939;88;403;Ant
940;88;403;Ant
941;88;403;Ant
942;88;403;Ant
943;88;403;Ant
944;88;403;Ant
945;88;403;Ant
946;88;404;Ant
947;88;404;Ant
948;88;404;Ant
949;88;404;Ant
950;88;405;Ant
951;88;405;Ant
952;88;405;Ant
953;88;405;Ant
954;89;405;Ant
955;90;405;Ant
956;90;405;Ant
957;90;406;Ant
958;91;406;Ant
959;91;406;Ant
960;91;406;Ant
961;91;406;Ant
962;91;406;Ant
963;91;406;Ant
964;90;406;Ant
965;90;406;Ant
966;90;406;Ant
967;90;406;Ant
968;89;406;Ant
969;89;406;Ant
970;88;406;Ant
971;88;406;Ant
972;88;406;Ant
973;88;406;Ant
974;88;406;Ant
975;88;406;Ant
976;88;406;Ant
977;88;406;Ant
978;88;406;Ant
979;88;406;Ant
980;88;406;Ant
981;89;405;Ant
982;89;404;Ant
983;89;403;Ant
984;89;402;Ant
985;90;401;Ant
986;90;400;Ant
987;90;399;Ant
988;90;398;Ant
989;90;398;Ant
990;90;398;Ant
991;90;398;Ant
992;90;398;Ant
993;90;397;Ant
994;90;396;Ant
995;91;395;Ant
996;91;395;Ant
997;91;394;Ant
998;91;394;Ant
