frame;x;y;class
1;740;277;
2;738;278;
3;737;279;
4;736;280;
5;735;281;
6;734;282;
7;732;283;
8;729;285;
9;726;287;
10;723;289;
11;718;291;
12;713;294;
13;709;296;
14;705;299;
15;702;301;
16;699;303;
17;697;305;
18;695;307;
19;694;309;
20;693;311;
21;692;312;
22;691;314;
23;690;316;
24;688;317;
25;686;318;
26;683;319;
27;680;321;
28;677;322;
29;673;323;
30;669;324;
31;664;325;
32;659;326;
33;655;326;
34;651;327;
35;647;328;
36;643;329;
37;639;330;
38;635;331;
39;631;333;
40;627;334;
41;624;335;
42;621;336;
43;618;337;
44;615;338;
45;612;339;
46;610;339;
47;608;339;
48;606;339;
49;604;338;
50;603;337;
51;601;336;
52;600;334;
53;598;333;
54;596;332;
55;594;330;
56;592;329;
57;590;328;
58;589;327;
59;588;325;
60;587;324;
61;585;323;
62;584;322;
63;582;321;
64;581;320;
65;579;319;
66;578;318;
67;577;317;
68;576;316;
69;575;315;
70;575;315;
71;575;314;
72;576;314;
73;577;314;
74;578;314;
75;580;315;
76;582;315;
77;584;316;
78;586;316;
79;588;316;
80;589;317;
81;590;318;
82;591;319;
83;592;320;
84;593;321;
85;594;322;
86;595;322;
87;596;322;
88;597;322;
89;597;322;
90;597;322;
91;597;322;
92;598;322;
93;598;322;
94;598;322;
95;598;322;
96;598;322;
97;598;322;
98;598;322;
99;597;322;
100;596;322;
101;595;322;
102;594;322;
103;593;322;
104;592;322;
105;591;322;
106;591;322;
107;590;322;
108;589;322;
109;588;321;
110;586;320;
111;584;319;
112;582;318;
113;580;317;
114;578;316;
115;575;316;
116;571;316;
117;567;316;
118;563;316;
119;559;316;
120;555;316;
121;551;316;
122;547;316;
123;544;316;
124;540;315;
125;536;314;
126;532;314;
127;529;313;
128;526;313;
129;523;313;
130;520;313;
131;517;313;
132;514;313;
133;512;313;
134;510;314;
135;508;315;
136;506;316;
137;505;317;
138;504;318;
139;503;318;
140;502;319;
141;502;320;
142;502;321;
143;502;322;
144;502;323;
145;502;324;
146;503;325;
147;503;326;
148;503;327;
149;503;328;
150;503;330;
151;503;331;
152;502;333;
153;502;335;
154;502;337;
155;501;340;
156;500;343;
157;499;346;
158;499;349;
159;498;352;
160;497;356;
161;495;359;
162;493;363;
163;491;366;
164;489;369;
165;487;372;
166;485;375;
167;482;378;
168;480;381;
169;478;383;
170;476;386;
171;474;389;
172;472;392;
173;470;394;
174;468;396;
175;465;398;
176;462;400;
177;459;402;
178;456;404;
179;453;405;
180;450;406;
181;447;407;
182;444;408;
183;441;408;
184;438;408;
185;434;409;
186;430;410;
187;426;411;
188;422;412;
189;418;413;
190;413;414;
191;409;415;
192;405;416;
193;401;417;
194;397;418;
195;393;420;
196;389;422;
197;385;424;
198;381;426;
199;377;429;
200;373;431;
201;370;433;
202;367;435;
203;364;438;
204;362;441;
205;361;443;
206;360;445;
207;360;446;
208;360;447;
209;360;448;
210;361;449;
211;362;450;
212;363;450;
213;364;450;
214;365;450;
215;366;450;
216;367;450;
217;368;450;
218;369;449;
219;370;448;
220;370;447;
221;370;445;
222;370;443;
223;370;441;
224;369;439;
225;368;437;
226;367;435;
227;366;433;
228;364;431;
229;363;429;
230;361;427;
231;358;425;
232;355;423;
233;352;421;
234;349;418;
235;345;416;
236;341;414;
237;337;412;
238;333;409;
239;328;406;
240;324;403;
241;320;400;
242;316;397;
243;312;394;
244;309;391;
245;306;388;
246;302;385;
247;298;381;
248;295;377;
249;293;374;
250;291;371;
251;289;368;
252;287;365;
253;285;363;
254;283;361;
255;282;359;
256;281;357;
257;280;354;
258;279;351;
259;278;348;
260;278;346;
261;278;344;
262;278;341;
263;279;339;
264;280;337;
265;281;335;
266;282;334;
267;284;333;
268;286;331;
269;287;330;
270;288;329;
271;289;328;
272;290;327;
273;291;327;
274;292;327;
275;293;327;
276;294;327;
277;295;327;
278;296;327;
279;297;327;
280;298;327;
281;299;327;
282;300;327;
283;301;328;
284;302;329;
285;302;330;
286;303;330;
287;303;330;
288;303;331;
289;303;331;
290;303;331;
291;303;331;
292;303;331;
293;303;331;
294;303;332;
295;303;333;
296;303;333;
297;303;333;
298;303;333;
299;303;333;
300;302;333;
301;301;333;
302;301;333;
303;301;334;
304;300;335;
305;299;336;
306;299;337;
307;299;338;
308;299;339;
309;299;340;
310;298;340;
311;297;341;
312;296;342;
313;295;343;
314;294;344;
315;293;345;
316;292;347;
317;291;349;
318;290;351;
319;288;353;
320;286;355;
321;284;357;
322;281;359;
323;279;361;
324;277;362;
325;275;363;
326;274;364;
327;273;365;
328;272;365;
329;272;365;
330;271;365;
331;270;365;
332;269;365;
333;268;364;
334;267;364;
335;265;363;
336;263;363;
337;261;363;
338;258;363;
339;255;363;
340;252;364;
341;249;364;
342;246;365;
343;242;366;
344;238;367;
345;234;368;
346;230;368;
347;226;368;
348;222;368;
349;218;368;
350;214;368;
351;210;368;
352;207;367;
353;204;366;
354;201;365;
355;198;364;
356;194;363;
357;189;362;
358;184;361;
359;180;360;
360;176;359;
361;172;359;
362;168;359;
363;164;359;
364;160;360;
365;156;362;
366;152;364;
367;148;366;
368;145;368;
369;141;370;
370;137;372;
371;134;373;
372;131;374;
373;128;375;
374;125;376;
375;122;377;
376;119;378;
377;116;379;
378;113;380;
379;109;381;
380;106;382;
381;103;383;
382;100;384;
383;98;385;
384;96;386;
385;94;387;
386;91;389;
387;89;390;
388;87;391;
389;85;392;
390;84;393;
391;83;394;
392;81;394;
393;79;394;
394;78;394;
395;77;394;
396;75;394;
397;71;394;
398;67;394;
399;64;394;
400;61;394;
401;59;394;
402;57;394;
403;55;394;
404;53;393;
405;50;392;
406;47;391;
407;45;390;
408;43;390;
409;41;390;
410;39;390;
411;37;390;
412;35;390;
413;33;390;
414;31;390;
415;29;390;
416;27;390;
417;25;390;
418;23;390;
419;21;390;
420;19;390;
421;17;390;
422;15;390;
423;13;390;
424;11;390;
425;9;390;
426;7;390;
427;5;390;
428;3;390;
429;1;390;
430;-1;390;
431;-3;390;
432;-5;390;
433;-5;390;
434;-5;390;
435;-5;390;
436;-5;390;
437;-5;390;
438;-5;390;
439;-5;390;
440;-5;390;
441;-5;390;
442;-5;390;
443;-5;390;
444;-5;390;
445;-5;390;
446;-5;390;
447;-5;390;
448;-5;390;
449;-5;390;
