frame;x;y;class
1;739;277;
2;738;278;Ant
3;737;279;Ant
4;737;280;Ant
5;736;281;Ant
6;735;282;Ant
7;733;283;Ant
8;731;285;Ant
9;728;286;Ant
10;725;288;Ant
11;721;291;Ant
12;716;293;Ant
13;712;296;Ant
14;708;299;Ant
15;705;301;Ant
16;702;303;Ant
17;700;305;Ant
18;698;307;Ant
19;696;309;Ant
20;695;311;Ant
21;694;313;Ant
22;692;315;Ant
23;690;317;Ant
24;688;319;Ant
25;685;320;Ant
26;682;321;Ant
27;679;323;Ant
28;676;324;Ant
29;672;325;Ant
30;668;325;Ant
31;664;326;Ant
32;660;327;Ant
33;656;328;Ant
34;652;329;Ant
35;648;330;Ant
36;644;331;Ant
37;640;332;Ant
38;636;333;Ant
39;632;334;Ant
40;628;335;Ant
41;625;336;Ant
42;622;337;Ant
43;619;338;Ant
44;616;339;Ant
45;613;340;Ant
46;610;340;Ant
47;608;340;Ant
48;606;339;Ant
49;604;338;Ant
50;602;337;Ant
51;600;335;Ant
52;599;334;Ant
53;597;333;Ant
54;595;332;Ant
55;593;331;Ant
56;591;330;Ant
57;590;329;Ant
58;588;327;Ant
59;587;326;Ant
60;586;325;Ant
61;585;324;Ant
62;584;323;Ant
63;583;322;Ant
64;582;321;Ant
65;580;320;Ant
66;579;319;Ant
67;578;318;Ant
68;577;317;Ant
69;576;316;Ant
70;575;315;Ant
71;575;314;Ant
72;576;314;Ant
73;577;314;Ant
74;579;314;Ant
75;581;314;Ant
76;582;314;Ant
77;584;315;Ant
78;585;316;Ant
79;587;316;Ant
80;588;317;Ant
81;589;318;Ant
82;590;319;Ant
83;591;320;Ant
84;592;321;Ant
85;593;322;Ant
86;594;322;Ant
87;595;322;Ant
88;596;322;Ant
89;597;322;Ant
90;597;322;Ant
91;597;322;Ant
92;597;322;Ant
93;597;322;Ant
94;597;322;Ant
95;597;322;Ant
96;597;322;Ant
97;597;322;Ant
98;597;322;Ant
99;597;322;Ant
100;596;323;Ant
