frame;x;y;class
896;49;380;
942;49;380;
943;49;379;
944;50;377;
945;51;375;Ant
946;52;374;Ant
947;54;372;Ant
948;56;370;Ant
949;59;368;Ant
950;62;366;Ant
951;65;364;Ant
952;69;363;Ant
953;73;361;Ant
954;76;359;Ant
955;79;358;Ant
956;82;358;Ant
957;86;358;Ant
958;89;358;Ant
959;92;358;Ant
960;92;358;Ant
961;95;358;Ant
962;98;358;Ant
963;101;358;Ant
964;104;358;Ant
965;107;358;Ant
966;111;359;Ant
967;116;360;Ant
968;120;361;Ant
969;125;362;Ant
970;129;362;Ant
971;133;362;Ant
972;136;362;Ant
973;139;362;Ant
974;141;363;Ant
975;143;363;Ant
976;146;364;Ant
977;149;364;Ant
978;152;365;Ant
979;154;365;Ant
980;157;365;Ant
981;161;365;Ant
982;165;365;Ant
983;168;365;Ant
984;172;365;Ant
985;175;365;Ant
986;179;365;Ant
987;182;364;Ant
988;186;363;Ant
989;190;362;Ant
990;194;361;Ant
991;198;360;Ant
992;201;359;Ant
993;205;358;Ant
994;209;357;Ant
995;213;356;Ant
996;216;355;Ant
997;220;354;Ant
998;224;353;Ant
