frame;x;y;class
1;655;408;
2;653;408;
3;651;408;
4;649;408;
5;647;408;
6;644;408;
7;641;409;
8;637;409;
9;634;409;
10;631;409;
11;628;410;
12;625;411;
13;620;412;
14;616;413;
15;613;413;
16;610;413;
17;607;413;
18;604;413;
19;601;414;
20;598;415;
21;596;416;
22;594;416;
23;593;416;
24;592;416;
25;592;417;
26;592;417;
27;592;418;
28;592;418;
29;591;419;
30;590;420;
31;589;420;
32;588;420;
33;586;421;
34;583;421;
35;580;421;
36;577;421;
37;574;421;
38;571;421;
39;568;421;
40;565;421;
41;562;421;
42;559;420;
43;557;419;
44;555;418;
45;554;417;
46;554;417;
47;554;417;
48;555;416;
49;556;415;
50;557;414;
51;558;413;
52;559;412;
53;560;411;
54;561;411;
55;562;410;
56;563;409;
57;565;408;
58;567;407;
59;568;407;
60;569;406;
61;570;406;
62;571;405;
63;571;404;
64;571;403;
65;571;402;
66;571;400;
67;571;399;
68;571;398;
69;571;396;
70;572;394;
71;573;392;
72;574;390;
73;575;388;
74;576;386;
75;577;384;
76;578;382;
77;579;380;
78;580;378;
79;581;377;
80;582;376;
81;584;375;
82;586;375;
83;588;374;
84;590;374;
85;592;374;
86;594;374;
87;596;373;
88;598;372;
89;600;371;
90;602;370;
91;604;369;
92;606;368;
93;608;368;
94;610;368;
95;612;367;
96;614;366;
97;616;366;
98;618;366;
99;620;365;
100;622;365;
101;624;365;
102;627;364;
103;629;363;
104;631;363;
105;633;363;
106;635;363;
107;637;362;
108;639;361;
109;640;360;
110;641;360;
111;643;359;
112;644;358;
113;646;357;
114;648;356;
115;650;355;
116;652;353;
117;655;351;
118;658;349;
119;661;346;
120;664;343;
121;667;340;
122;669;336;
123;671;332;
124;673;328;
125;675;325;
126;677;321;
127;679;317;
128;681;313;
129;683;309;
130;684;305;
131;685;301;
132;686;296;
133;686;291;
134;686;287;
135;687;283;
136;688;279;
137;688;275;
138;687;272;
139;686;269;
140;685;266;
141;683;263;
142;681;260;
143;679;258;
144;677;256;
145;675;253;
146;673;250;
147;671;247;
148;669;245;
149;666;243;
150;662;240;
151;658;237;
152;655;235;
153;652;234;
154;650;233;
155;648;233;
156;647;233;
157;646;234;
158;646;234;
159;646;235;
160;647;236;
161;648;238;
162;649;240;
163;650;242;
164;652;244;
165;654;246;
166;656;248;
167;657;250;
168;659;252;
169;662;253;
170;664;254;
171;666;255;
172;668;255;
173;670;255;
174;672;255;
175;675;255;
176;678;254;
177;682;253;
178;686;252;
179;690;250;
180;694;248;
181;697;246;
182;700;243;
183;703;240;
184;705;237;
185;707;235;
186;709;233;
187;711;231;
188;713;229;
189;715;227;
190;717;226;
191;718;225;
192;719;225;
193;720;225;
194;721;226;
195;722;227;
196;723;228;
197;724;229;
198;725;230;
199;726;231;
200;727;232;
201;727;233;
202;727;234;
203;728;235;
204;729;236;
205;730;237;
206;731;239;
