frame;x;y;class
218;978;245;
397;978;245;
398;978;245;
399;977;244;
400;976;243;
401;975;243;
402;974;242;
403;973;242;
404;972;242;
405;971;242;
406;970;242;
407;968;242;
408;966;241;
409;963;240;
410;961;239;
411;959;239;
412;957;238;
413;956;238;
414;954;237;
415;953;236;
416;952;235;
417;950;235;
418;949;235;
419;949;235;
420;948;235;
421;947;235;
422;946;235;
423;945;235;
424;944;235;
425;943;235;
426;942;235;
427;941;236;
428;941;237;
429;941;238;
430;940;239;
431;939;240;
432;938;241;
433;937;242;
434;935;243;
435;934;244;
436;933;245;
437;932;245;
438;930;245;
439;928;245;
440;927;245;
441;925;245;
442;923;244;
443;921;244;
444;919;243;
445;917;243;
446;916;242;
447;914;241;
448;913;240;
449;912;240;
450;911;239;
451;910;238;
452;909;237;
453;909;236;
454;909;235;
455;909;234;
456;909;233;
457;908;231;
458;907;229;
459;906;227;
460;906;225;
461;906;223;
462;906;222;
463;906;221;
464;906;220;
465;906;219;
466;906;218;
467;906;217;
468;905;217;
469;904;217;
470;903;217;
471;902;217;
472;901;218;
473;901;219;
474;901;220;
475;901;220;
476;901;221;
477;900;221;
478;900;221;
479;899;222;
480;898;223;
481;897;224;
482;896;225;
483;895;226;
484;894;227;
485;892;228;
486;890;230;
487;888;232;
488;886;234;
489;883;236;
490;880;238;
491;877;239;
492;875;240;
493;873;241;
494;871;243;
495;869;245;
496;867;247;
497;865;249;
498;863;251;
499;861;253;
500;859;255;
501;858;257;
502;857;259;
503;857;261;
504;857;263;
505;857;265;
506;857;267;
507;857;269;
508;857;271;
509;857;273;
510;857;275;
511;857;277;
512;858;279;
513;858;281;
514;858;283;
515;858;285;
516;858;286;
517;857;287;
518;856;289;
519;854;291;
520;854;293;
521;854;295;
522;852;295;
523;850;295;
524;848;294;
525;846;293;
526;845;292;
527;844;292;
528;843;292;
529;841;292;
530;839;292;
531;837;292;
532;834;291;
533;832;290;
534;830;289;
535;828;288;
536;826;287;
537;825;286;
538;824;285;
539;823;284;
540;822;283;
541;821;283;
542;821;283;
543;821;283;
544;822;283;
545;823;283;
546;824;283;
547;825;283;
548;826;282;
549;827;281;
550;829;281;
551;831;281;
552;833;281;
553;836;281;
