frame;x;y;class
1;667;592;
2;668;593;
3;670;594;
4;672;594;
5;673;594;
6;675;594;
7;676;594;
8;677;594;
9;678;594;
10;679;594;
11;680;594;
12;681;594;
13;683;594;
14;684;594;
15;685;594;
16;686;594;
17;687;594;
18;688;594;
19;689;594;
20;689;594;
21;690;594;
22;691;594;
23;691;594;
24;691;594;
25;692;594;
26;692;594;
27;693;594;
28;693;594;
29;693;593;
30;693;593;
31;693;593;
32;694;593;
33;694;593;
34;694;592;
35;695;592;
36;695;591;
37;696;591;
38;696;591;
39;696;590;
40;697;590;
41;697;589;
42;698;588;
43;698;587;
44;699;586;
45;700;586;
46;701;586;
47;701;585;
48;701;585;
49;701;584;
50;701;583;
51;701;582;
52;702;581;
53;703;580;
54;704;579;
55;705;578;
56;706;578;
57;707;577;
58;708;576;
59;709;575;
60;710;574;
61;711;573;
62;712;572;
63;713;571;
64;714;569;
65;715;567;
66;715;565;
67;716;563;
68;717;562;
69;718;561;
70;719;560;
71;720;558;
72;721;557;
73;722;556;
74;723;555;
75;724;554;
76;725;553;
77;725;552;
78;725;551;
79;726;550;
80;727;549;
81;728;548;
82;729;547;
83;731;546;
84;733;545;
85;735;544;
86;736;543;
87;738;542;
88;740;540;
89;742;539;
90;744;538;
91;746;537;
92;748;536;
93;750;535;
94;752;534;
95;754;533;
96;757;531;
97;761;529;
98;764;527;
99;767;525;
100;770;524;
101;772;523;
102;774;521;
103;776;519;
104;778;517;
105;780;515;
106;782;513;
107;784;511;
108;785;509;
109;787;507;
110;789;505;
111;791;503;
112;793;501;
113;796;499;
114;799;497;
115;802;495;
116;805;493;
117;808;491;
118;811;488;
119;814;485;
120;816;483;
121;818;480;
122;820;478;
123;822;475;
124;824;473;
125;826;470;
126;829;466;
127;832;463;
128;835;460;
129;837;457;
130;839;454;
131;841;451;
132;842;448;
133;843;446;
134;844;444;
135;845;442;
136;846;441;
137;847;440;
138;849;439;
139;851;438;
140;852;437;
141;853;436;
142;855;436;
143;856;436;
144;857;436;
145;858;436;
146;860;436;
147;861;437;
148;862;438;
149;863;439;
150;864;440;
151;865;441;
152;866;442;
153;867;442;
154;868;442;
155;869;442;
156;870;442;
157;871;442;
158;872;442;
159;873;442;
160;874;442;
161;876;442;
162;878;441;
163;880;440;
164;882;439;
165;884;439;
166;886;439;
167;888;439;
168;890;439;
169;892;440;
170;894;441;
171;896;442;
172;898;442;
173;899;442;
174;901;441;
175;902;440;
176;903;439;
177;905;438;
178;907;437;
179;908;436;
180;910;435;
181;912;434;
182;914;433;
183;916;433;
184;918;432;
185;920;431;
186;923;429;
187;925;427;
188;928;425;
189;930;423;
190;932;421;
191;933;419;
192;934;417;
193;935;416;
194;936;415;
195;936;414;
196;936;414;
197;936;414;
198;936;414;
199;936;414;
200;936;414;
201;936;414;
202;936;414;
203;936;414;
204;936;415;
205;936;415;
206;935;416;
207;934;417;
208;934;418;
209;934;418;
210;935;418;
211;935;418;
212;935;418;
213;935;418;
214;935;418;
215;935;418;
216;935;418;
217;935;418;
218;935;418;
219;935;418;
220;935;418;
221;935;418;
222;935;418;
223;935;418;
224;935;418;
225;935;418;
226;935;418;
227;935;418;
228;935;418;
229;935;418;
230;935;418;
231;935;418;
232;935;418;
233;934;418;
234;934;418;
235;934;418;
236;934;418;
237;934;418;
238;934;418;
239;934;418;
240;934;418;
241;933;418;
242;932;418;
243;931;418;
244;931;418;
245;931;418;
246;930;418;
247;930;418;
248;929;418;
249;928;417;
250;927;416;
251;926;415;
252;926;414;
253;925;413;
254;925;412;
255;925;411;
256;925;410;
257;925;409;
258;926;408;
259;926;407;
260;926;406;
261;927;405;
262;928;403;
263;929;401;
264;930;400;
265;931;399;
266;932;398;
267;932;397;
268;933;396;
269;933;395;
270;934;394;
271;935;392;
272;936;391;
273;937;389;
274;938;388;
275;939;387;
276;940;386;
277;941;385;
278;942;384;
279;943;383;
280;944;382;
281;945;382;
282;946;382;
283;947;381;
284;948;380;
285;949;379;
286;950;378;
287;951;378;
288;952;377;
289;953;376;
290;954;376;
291;955;375;
292;956;375;
293;957;375;
294;958;374;
295;959;374;
296;960;374;
297;961;374;
298;962;374;
299;964;374;
300;966;374;
301;968;374;
302;970;374;
303;972;374;
304;974;374;
305;976;373;
306;977;372;
307;978;372;
308;979;371;
309;980;370;
310;982;370;
311;983;369;
312;984;368;
313;985;368;
314;986;368;
315;987;367;
316;988;367;
317;989;367;
318;990;367;
319;991;367;
320;991;367;
321;991;366;
322;991;366;
323;991;365;
324;991;365;
325;991;364;
326;991;364;
327;991;363;
328;992;362;
329;992;361;
330;993;360;
331;994;359;
332;995;358;
333;995;357;
334;995;356;
335;995;355;
336;995;354;
337;995;353;
338;996;352;
339;997;351;
340;998;350;
341;1000;349;
342;1002;347;
343;1004;345;
344;1005;344;
345;1006;343;
346;1007;342;
347;1008;341;
348;1009;340;
349;1009;339;
350;1009;338;
351;1009;337;
352;1009;336;
353;1009;335;
354;1009;334;
355;1009;333;
356;1009;332;
357;1009;331;
358;1009;330;
359;1009;329;
360;1010;328;
361;1011;327;
362;1012;325;
363;1013;323;
364;1015;321;
365;1017;319;
366;1018;317;
367;1019;316;
368;1020;315;
369;1021;314;
370;1022;313;
371;1023;313;
372;1024;312;
373;1025;311;
374;1026;311;
375;1027;311;
376;1028;310;
377;1029;309;
378;1030;309;
379;1031;309;
380;1032;309;
381;1033;309;
382;1034;309;
383;1035;309;
384;1036;309;
385;1037;309;
386;1038;309;
387;1039;309;
388;1040;309;
389;1041;309;
390;1042;309;
391;1043;309;
392;1044;309;
393;1045;308;
394;1046;307;
395;1047;306;
396;1048;305;
397;1049;305;
398;1051;305;
399;1053;304;
400;1055;303;
401;1057;302;
402;1059;301;
403;1061;300;
404;1063;300;
405;1064;301;
406;1065;302;
407;1066;303;
408;1067;305;
409;1068;306;
410;1069;307;
411;1070;308;
412;1071;308;
413;1072;308;
414;1074;308;
415;1077;308;
416;1080;307;
417;1084;306;
418;1088;305;
419;1092;304;
420;1095;304;
421;1097;304;
422;1099;304;
423;1101;304;
424;1103;304;
425;1105;304;
426;1107;304;
427;1111;304;
428;1115;304;
429;1119;304;
430;1122;303;
431;1126;302;
432;1130;301;
433;1133;301;
434;1136;301;
435;1139;301;
436;1142;301;
437;1145;301;
