frame;x;y;class
1;461;129;
2;460;130;
3;459;131;
4;457;132;
5;455;133;
6;454;135;
7;452;137;
8;450;139;
9;448;140;
10;446;141;
11;444;142;
12;441;143;
13;438;143;
14;435;143;
15;432;143;
16;429;143;
17;425;143;
18;421;142;
19;418;141;
20;414;140;
21;410;140;
22;407;140;
23;404;140;
24;401;141;
25;398;142;
26;395;143;
27;392;144;
28;389;146;
29;385;148;
30;381;149;
31;377;151;
32;374;153;
33;371;155;
34;369;156;
35;367;157;
36;366;158;
37;366;159;
38;367;160;
39;368;160;
40;370;160;
41;372;161;
42;375;161;
43;378;161;
44;381;161;
45;384;161;
46;387;161;
47;390;161;
48;393;161;
49;396;161;
50;400;162;
51;404;162;
52;408;161;
53;412;160;
54;416;159;
55;420;158;
56;424;158;
57;428;157;
58;432;156;
59;437;155;
60;441;154;
61;445;153;
62;449;151;
63;454;149;
64;458;147;
65;463;143;
66;469;140;
67;474;137;
68;479;134;
69;484;130;
70;488;126;
71;491;123;
72;493;120;
73;495;117;
74;496;115;
75;497;113;
76;497;112;
77;497;111;
78;497;111;
79;496;111;
80;495;112;
81;494;114;
82;492;116;
83;490;119;
84;488;122;
85;486;125;
86;484;129;
87;483;132;
88;482;135;
89;481;138;
90;480;141;
91;480;144;
92;481;147;
93;483;150;
94;485;153;
95;487;155;
96;491;158;
97;495;160;
98;500;162;
99;505;164;
100;510;166;
101;515;167;
102;521;168;
103;527;168;
104;534;168;
105;541;167;
106;548;166;
107;555;164;
108;562;162;
109;569;160;
110;576;157;
111;583;154;
112;589;151;
113;595;147;
114;600;142;
115;605;137;
116;609;132;
117;613;126;
118;616;120;
119;618;115;
120;620;110;
121;620;104;
122;620;99;
123;620;95;
124;619;92;
125;618;90;
126;617;88;
127;616;87;
128;615;86;
129;614;86;
130;613;86;
131;611;86;
132;610;87;
133;609;88;
134;608;89;
135;608;90;
136;608;91;
137;608;92;
138;608;94;
139;608;95;
140;608;97;
141;609;99;
142;610;101;
143;611;103;
144;612;105;
145;613;107;
146;615;109;
147;617;110;
148;620;111;
149;623;112;
150;625;113;
151;628;114;
152;631;115;
153;634;116;
154;637;117;
155;641;118;
156;645;119;
157;649;119;
158;653;119;
159;658;119;
160;663;119;
161;668;119;
162;673;119;
163;678;119;
164;682;119;
165;687;119;
166;691;118;
167;695;118;
168;699;117;
169;702;116;
170;705;115;
171;708;114;
172;711;113;
173;715;112;
174;719;111;
175;723;110;
176;726;110;
177;729;110;
178;733;110;
179;737;110;
180;740;110;
181;743;110;
182;748;110;
183;753;110;
184;757;110;
185;761;110;
186;765;110;
187;769;110;
188;773;109;
189;778;107;
190;782;105;
191;786;103;
192;789;101;
193;792;98;
194;795;95;
195;797;93;
196;798;91;
197;799;90;
198;799;89;
199;799;88;
200;799;88;
201;799;88;
202;798;88;
203;797;89;
204;796;90;
205;795;92;
206;794;94;
207;793;96;
208;792;98;
209;791;99;
210;790;100;
211;790;101;
212;790;102;
213;790;103;
214;791;104;
215;792;105;
216;792;106;
217;793;107;
218;795;108;
219;797;109;
220;799;110;
221;802;111;
222;805;112;
223;808;113;
224;811;114;
225;814;114;
226;817;115;
227;821;115;
228;825;115;
229;829;115;
230;833;115;
231;838;114;
232;843;113;
233;847;112;
234;850;111;
235;854;109;
236;858;107;
237;862;105;
238;865;103;
239;868;101;
240;870;100;
241;872;99;
242;873;98;
243;874;97;
244;874;97;
245;874;97;
246;874;97;
247;874;97;
248;874;97;
249;873;98;
250;872;99;
251;871;100;
252;870;101;
253;869;102;
254;868;103;
255;867;104;
256;866;105;
257;865;106;
258;864;107;
259;864;108;
260;864;109;
261;864;110;
262;864;111;
263;864;112;
264;865;113;
265;866;114;
266;867;116;
267;868;117;
268;870;118;
269;872;119;
270;875;120;
271;878;121;
272;882;122;
273;886;123;
274;890;124;
275;894;124;
276;899;124;
277;904;124;
278;910;124;
279;915;124;
280;920;123;
281;925;122;
282;930;121;
283;935;120;
284;941;119;
285;946;117;
286;951;116;
287;955;115;
288;959;114;
289;963;113;
290;967;113;
291;970;113;
292;972;113;
293;974;113;
294;975;113;
295;976;113;
296;977;113;
297;978;114;
298;979;115;
299;980;116;
300;981;117;
301;982;118;
302;983;120;
303;985;122;
304;986;124;
305;987;126;
306;988;128;
307;989;129;
308;989;130;
309;989;131;
310;989;132;
311;990;132;
312;990;132;
313;990;132;
314;990;132;
315;990;132;
316;991;132;
317;992;131;
318;993;130;
319;994;129;
320;994;129;
321;994;128;
322;995;127;
323;996;126;
324;997;125;
325;998;123;
326;999;121;
327;1000;119;
328;1001;117;
329;1001;115;
330;1001;113;
331;1001;112;
332;1001;111;
333;1001;109;
334;1001;107;
335;1001;106;
336;1001;105;
337;1001;104;
338;1001;103;
339;1001;103;
340;1000;104;
341;1000;105;
342;999;106;
343;998;107;
344;997;108;
345;996;109;
346;995;111;
347;994;112;
348;992;113;
349;990;114;
350;989;114;
351;988;114;
352;986;114;
353;984;115;
354;982;116;
355;981;117;
356;980;119;
357;978;121;
358;976;123;
359;974;125;
360;972;127;
361;970;129;
362;968;131;
363;965;132;
364;962;133;
365;959;134;
366;956;135;
367;952;135;
368;948;135;
369;944;135;
370;940;134;
371;936;133;
372;931;132;
373;926;131;
374;921;129;
375;916;126;
376;911;124;
377;907;122;
378;903;120;
379;900;119;
380;899;118;
381;898;118;
382;898;118;
383;899;118;
384;900;118;
385;901;117;
386;902;116;
387;903;115;
388;904;114;
389;905;112;
390;907;110;
391;909;108;
392;910;106;
393;911;104;
394;912;103;
395;913;102;
396;915;101;
397;916;100;
398;917;99;
399;918;98;
400;919;97;
401;920;96;
402;921;95;
403;922;95;
404;922;95;
405;922;95;
406;922;95;
407;922;95;
408;922;95;
409;922;95;
410;923;94;
411;923;94;
412;924;94;
413;924;94;
414;925;93;
415;925;93;
416;925;93;
417;926;93;
418;926;93;
419;926;93;
420;926;93;
421;926;94;
422;926;95;
423;926;97;
424;926;98;
425;926;99;
426;926;100;
427;925;101;
428;924;102;
429;923;103;
430;921;104;
431;920;106;
432;918;108;
433;916;109;
434;914;110;
435;911;111;
436;908;112;
437;905;113;
438;902;114;
439;898;114;
440;893;114;
441;889;114;
442;885;114;
443;880;113;
444;874;112;
445;869;111;
446;864;110;
447;859;108;
448;855;106;
449;851;104;
450;846;102;
451;841;100;
452;836;98;
453;831;97;
454;826;95;
455;822;93;
456;818;92;
457;814;91;
458;810;89;
459;805;88;
460;801;87;
461;798;86;
462;795;85;
463;792;84;
464;790;83;
465;788;83;
466;786;83;
467;784;83;
468;783;83;
469;782;83;
470;781;83;
471;780;83;
472;779;84;
473;778;85;
474;777;86;
475;776;87;
476;775;88;
477;773;90;
478;772;92;
479;771;93;
480;769;95;
481;767;96;
482;764;97;
483;761;98;
484;758;99;
485;755;99;
486;751;99;
487;747;99;
488;743;98;
489;739;97;
490;735;96;
491;731;94;
492;727;92;
493;724;89;
494;721;87;
495;718;84;
496;716;82;
497;715;80;
498;714;79;
499;714;78;
500;714;77;
501;715;77;
502;716;77;
503;717;77;
504;717;77;
505;717;77;
506;717;77;
507;717;77;
508;717;78;
509;717;79;
510;717;80;
511;717;80;
512;717;80;
513;717;81;
514;717;81;
515;717;81;
516;717;82;
517;716;83;
518;716;83;
