frame;x;y;class
2;1080;269;
3;1079;269;
4;1079;270;
5;1079;271;
6;1079;272;
7;1078;273;
8;1078;274;
9;1078;275;
10;1078;275;
11;1078;276;
12;1078;276;
13;1076;276;
14;1075;276;
15;1074;275;
16;1073;275;
17;1072;274;
18;1071;274;
19;1070;274;
20;1068;274;
21;1066;274;
22;1064;274;
23;1062;274;
24;1060;274;
25;1059;274;
26;1058;274;
27;1057;274;
28;1056;274;
29;1055;274;
30;1054;275;
31;1053;275;
32;1052;275;
33;1052;275;
34;1052;275;
35;1051;275;
36;1051;275;
37;1051;275;
38;1050;275;
39;1049;275;
40;1047;275;
41;1044;275;
42;1041;275;
43;1038;275;
44;1035;275;
45;1032;275;
46;1030;274;
47;1028;273;
48;1026;273;
49;1025;273;
50;1024;272;
51;1023;272;
52;1022;271;
53;1021;270;
54;1021;270;
55;1021;270;
56;1020;270;
57;1020;269;
58;1020;268;
59;1020;268;
60;1020;268;
61;1020;268;
62;1020;267;
63;1020;266;
64;1020;265;
65;1020;264;
66;1020;263;
67;1020;262;
68;1020;261;
69;1020;260;
70;1020;259;
71;1020;259;
72;1020;259;
73;1020;259;
74;1020;258;
75;1020;257;
76;1019;256;
77;1018;255;
78;1017;255;
79;1017;255;
80;1016;255;
81;1015;255;
82;1014;255;
83;1013;255;
84;1012;255;
85;1012;255;
86;1011;255;
87;1011;255;
88;1010;255;
89;1009;255;
90;1008;255;
91;1008;255;
92;1007;255;
93;1006;256;
94;1006;256;
95;1006;256;
96;1005;256;
97;1004;256;
98;1003;256;
99;1002;256;
100;1002;256;
101;1002;256;
102;1001;256;
103;1001;256;
104;1001;256;
105;1001;256;
106;1000;256;
107;999;256;
108;998;256;
109;997;255;
110;996;254;
111;995;254;
112;994;254;
113;993;254;
114;992;254;
115;991;254;
116;990;254;
117;989;254;
118;988;254;
119;987;254;
120;987;254;
121;987;254;
122;987;254;
123;987;254;
124;987;254;
125;987;254;
126;987;254;
127;986;254;
128;985;254;
129;984;254;
130;984;254;
131;983;254;
132;983;254;
133;982;254;
134;981;254;
135;980;254;
136;979;254;
137;978;254;
138;977;254;
139;976;254;
140;975;254;
141;974;254;
142;973;254;
143;972;254;
144;970;254;
145;968;254;
146;967;254;
147;966;255;
148;965;255;
149;964;256;
150;963;257;
151;962;257;
152;961;257;
153;961;257;
154;960;257;
155;960;258;
156;960;259;
157;960;260;
158;960;261;
159;960;262;
160;959;263;
161;959;263;
162;959;264;
163;958;265;
164;957;266;
165;955;267;
166;953;267;
167;951;268;
168;949;268;
169;947;268;
170;945;268;
171;943;268;
172;941;268;
173;939;267;
174;937;266;
175;935;265;
176;933;264;
177;932;263;
178;931;262;
179;929;261;
180;928;260;
181;926;259;
182;925;258;
183;923;256;
184;922;254;
185;920;252;
186;918;250;
187;916;248;
188;915;247;
189;914;246;
190;912;244;
191;910;242;
192;908;240;
193;906;239;
194;904;238;
195;903;237;
196;902;236;
197;901;235;
198;900;234;
199;899;232;
200;898;230;
201;897;229;
202;896;228;
203;894;226;
204;892;224;
205;890;223;
206;888;221;
207;886;219;
208;884;218;
209;882;217;
210;881;215;
211;880;213;
212;879;211;
213;878;209;
214;877;207;
215;877;206;
216;877;205;
217;876;203;
218;875;201;
219;875;200;
220;874;198;
221;873;196;
222;872;194;
223;871;192;
224;870;190;
225;869;188;
226;868;186;
227;867;185;
228;866;184;
229;866;183;
230;866;182;
231;866;181;
232;866;180;
233;866;180;
234;866;180;
235;866;180;
236;866;180;
237;866;180;
238;866;180;
239;866;180;
240;866;180;
241;866;180;
242;866;180;
243;866;181;
244;866;181;
245;866;182;
246;865;182;
247;864;183;
248;863;183;
249;862;183;
250;861;183;
251;860;184;
252;859;184;
253;858;184;
254;856;184;
255;854;184;
256;852;184;
257;850;185;
258;849;185;
259;848;185;
260;847;184;
261;846;183;
262;845;182;
263;844;181;
264;843;180;
265;843;180;
266;843;179;
267;843;179;
268;842;178;
269;841;177;
270;840;176;
271;840;175;
272;839;174;
273;838;173;
274;837;172;
275;836;171;
276;835;170;
277;834;169;
278;833;168;
279;832;167;
280;831;166;
281;830;165;
282;829;163;
283;828;161;
284;827;159;
285;826;157;
286;825;156;
287;825;154;
288;825;152;
289;825;150;
290;825;148;
291;824;146;
292;823;144;
293;822;142;
294;822;140;
295;822;139;
296;822;138;
297;822;137;
298;822;136;
299;822;135;
300;822;134;
301;822;133;
302;822;133;
303;822;133;
304;822;133;
305;823;133;
306;823;133;
307;823;133;
308;823;133;
309;823;133;
310;823;133;
311;823;133;
312;823;132;
313;823;131;
314;823;130;
315;823;129;
316;823;128;
317;823;128;
318;823;127;
319;822;126;
320;821;125;
321;820;124;
