frame;x;y;class
1;460;130;
2;459;130;Ant
3;458;130;Ant
4;457;131;Ant
5;456;132;Ant
6;455;133;Ant
7;453;135;Ant
8;451;137;Ant
9;449;138;Ant
10;447;140;Ant
11;445;141;Ant
12;442;142;Ant
13;439;142;Ant
14;436;142;Ant
15;433;142;Ant
16;430;142;Ant
17;426;142;Ant
18;423;142;Ant
19;419;141;Ant
20;415;140;Ant
21;412;140;Ant
22;409;140;Ant
23;406;141;Ant
24;403;142;Ant
25;399;143;Ant
26;396;144;Ant
27;393;146;Ant
28;389;148;Ant
29;386;149;Ant
30;382;150;Ant
31;378;152;Ant
32;374;154;Ant
33;371;155;Ant
34;369;156;Ant
35;368;157;Ant
36;367;158;Ant
37;366;159;Ant
38;367;160;Ant
39;368;161;Ant
40;370;161;Ant
41;372;162;Ant
42;375;162;Ant
43;378;162;Ant
44;381;162;Ant
45;384;162;Ant
46;387;162;Ant
47;390;162;Ant
48;393;162;Ant
49;396;162;Ant
50;400;162;Ant
51;403;162;Ant
52;407;161;Ant
53;411;160;Ant
54;415;159;Ant
55;419;159;Ant
56;423;159;Ant
57;427;158;Ant
58;431;157;Ant
59;436;156;Ant
60;441;155;Ant
61;445;153;Ant
62;450;151;Ant
63;455;149;Ant
64;459;147;Ant
65;464;144;Ant
66;470;140;Ant
67;475;136;Ant
68;480;132;Ant
69;484;129;Ant
70;488;126;Ant
71;491;123;Ant
72;493;120;Ant
73;494;117;Ant
74;495;115;Ant
75;496;113;Ant
76;496;112;Ant
77;496;111;Ant
78;495;111;Ant
79;494;111;Ant
80;493;112;Ant
81;492;114;Ant
82;491;116;Ant
83;490;118;Ant
84;488;121;Ant
85;486;124;Ant
86;484;128;Ant
87;483;131;Ant
88;482;135;Ant
89;481;138;Ant
90;481;141;Ant
91;481;144;Ant
92;482;147;Ant
93;484;150;Ant
94;486;153;Ant
95;489;156;Ant
96;492;158;Ant
97;496;160;Ant
98;500;162;Ant
99;505;164;Ant
100;510;166;Ant
