frame;x;y;class
1;1206;474;
2;1206;474;Ant
3;1206;474;Ant
4;1206;474;Ant
5;1206;475;Ant
6;1206;476;Ant
7;1205;478;Ant
8;1204;479;Ant
9;1203;481;Ant
10;1202;483;Ant
11;1201;485;Ant
12;1200;487;Ant
13;1200;489;Ant
14;1199;491;Ant
15;1199;493;Ant
16;1198;494;Ant
17;1197;495;Ant
18;1196;496;Ant
19;1195;497;Ant
20;1194;498;Ant
21;1193;499;Ant
22;1193;499;Ant
23;1193;499;Ant
24;1193;499;Ant
25;1192;499;Ant
26;1192;499;Ant
27;1192;499;Ant
28;1192;498;Ant
29;1192;498;Ant
30;1192;497;Ant
31;1192;497;Ant
32;1192;497;Ant
33;1192;497;Ant
34;1191;497;Ant
35;1191;497;Ant
36;1191;497;Ant
37;1190;497;Ant
38;1189;497;Ant
39;1189;497;Ant
40;1189;497;Ant
41;1189;497;Ant
42;1189;496;Ant
43;1189;495;Ant
44;1189;495;Ant
45;1189;495;Ant
46;1189;495;Ant
47;1189;495;Ant
48;1190;495;Ant
49;1191;495;Ant
50;1192;495;Ant
51;1193;495;Ant
52;1194;495;Ant
53;1195;495;Ant
54;1195;495;Ant
55;1195;495;Ant
56;1195;495;Ant
57;1195;495;Ant
58;1195;496;Ant
59;1195;496;Ant
60;1195;496;Ant
61;1195;496;Ant
62;1195;496;Ant
63;1195;496;Ant
64;1194;496;Ant
65;1194;496;Ant
66;1194;496;Ant
67;1194;496;Ant
68;1194;496;Ant
69;1194;496;Ant
70;1193;495;Ant
71;1193;494;Ant
72;1193;493;Ant
73;1193;492;Ant
74;1193;491;Ant
75;1193;490;Ant
76;1193;489;Ant
77;1193;489;Ant
78;1193;489;Ant
79;1193;489;Ant
80;1193;489;Ant
81;1193;488;Ant
82;1193;487;Ant
83;1193;487;Ant
84;1193;486;Ant
85;1193;486;Ant
86;1193;486;Ant
87;1193;485;Ant
88;1192;484;Ant
89;1191;484;Ant
90;1190;484;Ant
91;1189;484;Ant
92;1188;484;Ant
93;1188;484;Ant
94;1188;484;Ant
95;1188;484;Ant
96;1188;484;Ant
97;1188;484;Ant
98;1188;484;Ant
99;1187;484;Ant
100;1186;484;Ant
